,Highest GMean Epoch,mean,std,min,25%,50%,75%,max
epoch,77.0,48.0,28.145455524234578,0.0,24.0,48.0,72.0,96.0
accuracy,0.7486910994764397,0.6848334371948552,0.11196167369869298,0.2379819133745835,0.6872917658257972,0.7172774869109948,0.7363160399809614,0.7705854355069015
kappa,0.6261551977876549,0.5334131806771861,0.1368574519589415,0.0,0.5374226214398035,0.5790710242189866,0.6015441424435273,0.645140898422361
f1_micro,0.7486910994764399,0.6848334371948552,0.11196167369869296,0.2379819133745835,0.6872917658257972,0.7172774869109948,0.7363160399809613,0.7705854355069015
f1_macro,0.7465660051355529,0.6531958546385103,0.13893646712143393,0.0961168781237985,0.6582030174804618,0.6969796408482705,0.7189157155414544,0.7547764879287209
f1_weighted,0.7498199469794181,0.6725513969252576,0.1383159888678255,0.0914963142539729,0.6862611692954486,0.7155124448333109,0.7311485244247963,0.7642094934935459
recall_micro,0.7486910994764397,0.6848334371948552,0.11196167369869298,0.2379819133745835,0.6872917658257972,0.7172774869109948,0.7363160399809614,0.7705854355069015
recall_macro,0.7923490099009901,0.7106883739920384,0.1166350135914492,0.25,0.72134900990099,0.7501732673267326,0.7626485148514851,0.7923490099009901
recall_weighted,0.7486910994764397,0.6848334371948552,0.11196167369869298,0.2379819133745835,0.6872917658257972,0.7172774869109948,0.7363160399809614,0.7705854355069015
precision_micro,0.7486910994764397,0.6848334371948552,0.11196167369869298,0.2379819133745835,0.6872917658257972,0.7172774869109948,0.7363160399809614,0.7705854355069015
precision_macro,0.7180686430129356,0.6451613179862782,0.13692162358443313,0.0594954783436458,0.6442542896220159,0.6825182937128083,0.7020657028406446,0.7554230024978533
precision_weighted,0.7558150539066248,0.6909738976256841,0.1385895074068457,0.0566353910934277,0.7015914711679967,0.7278461727139156,0.742326074963594,0.7708125731299569
gmean,0.7835605229934222,0.6718184448290334,0.17145402949697594,0.0,0.6942147130070808,0.7247553920314647,0.746217203390236,0.7835605229934222
precision_fallow,0.812910284463895,0.7380700957682056,0.15738280146240027,0.0,0.7380514705882353,0.7614155251141552,0.7915273132664437,0.856353591160221
precision_misc.,0.6030245746691871,0.6056695192413977,0.15216557915203152,0.0,0.5650118203309693,0.6421800947867299,0.6885245901639344,0.7739130434782608
precision_protein_crops,0.8181818181818182,0.7165509578249898,0.1389564327680105,0.2379819133745835,0.69921875,0.7527881040892194,0.8011695906432749,0.8806682577565632
precision_rapeseed,0.6381578947368421,0.5203546991105193,0.16125825161419427,0.0,0.482051282051282,0.56,0.6193548387096774,0.84375
recall_fallow,0.743,0.7332989690721651,0.19439297424656607,0.0,0.72,0.78,0.837,0.908
recall_misc.,0.638,0.46622680412371165,0.15351109522568168,0.0,0.396,0.48,0.56,0.724
recall_protein_crops,0.828,0.7680618556701034,0.09033615629425805,0.398,0.734,0.772,0.81,1.0
recall_rapeseed,0.9603960396039604,0.8751658671021744,0.22661499055923776,0.0,0.9207920792079208,0.9405940594059404,0.9603960396039604,0.9801980198019802
trainloss,0.1823656,0.2676073539175258,0.15196594889587645,0.16316211,0.19314544,0.21868876,0.25931764,0.8799117
valloss,0.22661054,0.2946406664948455,0.12911762361811271,0.2021988,0.23780343,0.25712636,0.28323787,0.79401267
FLOPs_per_epoch,85436416.0,85436416.0,0.0,85436416.0,85436416.0,85436416.0,85436416.0,85436416.0
cumulative_FLOPs,6664040448.0,4186384384.0,2404646846.6780033,85436416.0,2135910400.0,4186384384.0,6236858368.0,8287332352.0
runtime_per_epoch,53.86949849128723,47.19438249794478,7.608098501673743,41.36624073982239,42.06422424316406,43.73957657814026,49.62552905082703,85.54308009147644
Params,101700.0,101700.0,0.0,101700.0,101700.0,101700.0,101700.0,101700.0
